Rank,ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,
183,585,Palau,Oceania,18.06,296000000,310248000,16391.63,17178.73754
19,682,Saudi Arabia,Asia,36947.03,1.02191E+12,6.39617E+11,27658.65,17311.73117
194,258,French Polynesia,Oceania,308.87,0,5417934152,17541.03,17541.14725
97,233,Estonia,Europe,1322.77,40102000000,23337920560,30316.8,17643.21882
45,203,Czech Republic,Europe,10495.3,3.18938E+11,1.95305E+11,30388.66,18608.81394
52,300,Greece,Europe,10341.28,2.34808E+11,1.92691E+11,22705.9,18633.16854
175,659,Saint Kitts and Nevis,North America,47.76,1216000000,909854620,25463.3,19050.55737
211,796,Turks and Caicos Islands,North America,46.06,0,917550492,19919.9,19920.76622
50,620,Portugal,Europe,10247.61,2.67241E+11,2.04837E+11,26078.39,19988.71912
123,470,Malta,Europe,535.06,18627000000,10998577038,34812.66,20555.7826
83,705,Slovenia,Europe,2119.68,69888000000,44708598649,32971.09,21092.14535
207,660,Anguilla,North America,15.9,0,337520470,21229.04,21227.70252
91,48,Bahrain,Asia,1485.51,45421000000,32179073596,30576.05,21661.97036
204,534,Sint Maarten,North America,44.22,0,1072067039,24242.84,24243.94028
157,533,Aruba,North America,106.28,3395000000,2667039106,31944.82,25094.45903
109,96,Brunei,Asia,452.52,27708000000,11400266878,61229.9,25192.84646
57,414,Kuwait,Asia,4310.11,1.80665E+11,1.10346E+11,41916.58,25601.69675
15,724,Spain,Europe,47519.63,1.51909E+12,1.23726E+12,31967.63,26036.71408
11,410,South Korea,Asia,51784.06,1.91956E+12,1.41125E+12,37068.59,27252.50956
136,44,Bahamas,North America,412.62,13630000000,11261800000,33032.57,27293.39344
190,92,British Virgin Islands,North America,31.54,0,971237110,30795.77,30793.82086
9,380,Italy,Europe,58870.76,2.16938E+12,1.85891E+12,36849.94,31576.17065
61,630,Puerto Rico,North America,3260.31,1.21068E+11,1.05035E+11,37133.85,32216.10828
205,540,New Caledonia,Oceania,292.99,0,9445714851,32238.92,32239.03495
31,376,Israel,Asia,9174.52,5.47765E+11,3.17748E+11,59705.03,34633.7007
156,20,Andorra,Europe,80.09,3580000000,2858406626,44700.83,35689.93165
49,554,New Zealand,Oceania,5228.1,2.7672E+11,1.87517E+11,52929.36,35867.15988
